station_id,station_name,latitude,longitude,neighborhood
7519,406 Oakwood Ave,43.688271,-79.439378,Eglinton Ave W
7520,St Clarens Ave / Shirley St,43.648660,-79.437641,College St - Harbord St
7521,Emerson Ave / Bloor St W,43.658739,-79.440691,Bloor St W / Annex
7522,Wallace Ave / Pauline Ave,43.663226,-79.439705,Davenport - Dupont
7523,Lynn Williams St / East Liberty St,43.638925,-79.416866,Liberty Village - Queen West
7524,Lisgar Park,43.642385,-79.424028,Liberty Village - Queen West
7526,Bartlett Parkette,43.670224,-79.436023,Annex Efit drop off
7527,Joseph J Piccininni Community Centre,43.675648,-79.452762,St Clair Ave W
7528,Spadina Rd / Austin Terrace,43.678830,-79.408723,Annex Efit drop off
7529,Symington Ave / Davenport Rd,43.670440,-79.453285,Davenport - Dupont
7530,Sherbourne St N / Elm Ave,43.675273,-79.377846,Davenport - Dupont
7531,541 Huron St - SMART,43.670206,-79.402643,Annex Efit drop off
7533,Housey St / Dan Leckie Way,43.638110,-79.397877,Fort York - Entertainment District
7534,Walnut Ave / Queen St W,43.645469,-79.411084,Liberty Village - Queen West
7536,Palmerston Ave / Dundas St W,43.651603,-79.408346,College St - Harbord St
7537,Euclid Ave / Herrick St - SMART,43.661559,-79.413845,College St - Harbord St
7538,Vaughan Rd /Wychwood Ave,43.688282,-79.425386,Eglinton Ave W
7539,Davisville Ave / Pailton Cres,43.699330,-79.391990,Mid Town
7540,Alvin Ave / St. Clair Ave E,43.688710,-79.392640,Mid Town
7541,Bellwoods Ave / Treford Pl - SMART,43.652460,-79.413528,College St - Harbord St
7542,Queen St W / John St,43.650077,-79.391291,Fort York - Entertainment District
7543,Nassau St / Bellevue Ave,43.654842,-79.403512,College St - Harbord St
7545,Baldwin St / Henry St,43.656076,-79.393259,U of T - Hospital Row
7546,Ross St / Cecil St - SMART,43.656825,-79.396616,U of T - Hospital Row
7547,Orde St / McCaul St,43.658044,-79.392740,U of T - Hospital Row
7549,439 Sherbourne St,43.666051,-79.374161,Church Wellesley / Yorkville
7551,The Esplanade / Hahn Pl,43.649709,-79.364184,Downtown
7552,Lake Shore Blvd W / Thirty Ninth Street,43.592742,-79.540330,Humber Bay Shores
7553,Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,Humber Bay Shores
7554,Humber College (Lakeshore Campus),43.596169,-79.516058,Humber Bay Shores
7555,Royal York Rd / Mimico Ave,43.612063,-79.496573,Humber Bay Shores
7556,Windsor St / Newcastle St,43.617163,-79.497107,Humber Bay Shores
7557,The Queensway / High St,43.630874,-79.482407,Humber Bay Shores
7558,Berry Rd / Bell Manor Dr,43.637320,-79.489083,Bloor St W - High Park
7559,Swansea Community Centre,43.643804,-79.477033,Bloor St W - High Park
7561,Annette St / Jane St,43.658574,-79.487246,Bloor St W - High Park
7562,Priscilla Ave / Dundas St W,43.664665,-79.489385,Bloor St W - High Park
7563,St. Clair Ave W / Castleton Ave,43.668496,-79.485426,St Clair Ave W
7564,Durie St / Dundas St W,43.665523,-79.484892,Bloor St W - High Park
7565,St. Clair Ave W / Gunns Rd,43.672079,-79.470171,St Clair Ave W
7566,Weston Rd / St. Clair Ave W,43.673019,-79.467994,St Clair Ave W
7567,Weston Lions Park,43.698841,-79.519472,Eglinton Ave W
7568,Jameson Ave / Queen St W,43.639850,-79.437030,Liberty Village - Queen West
7569,Toronto Inukshuk Park,43.632982,-79.409508,Waterfront
7570,Carlaw Ave / Dundas St E,43.665076,-79.341509,Leslieville - Woodbine
7571,Highfield Rd / Gerrard St E,43.671771,-79.324961,Leslieville - Woodbine
7572,Cosburn Ave / Durant Ave,43.693548,-79.330166,Danforth
7575,Bayview Ave / Lawren Harris Square,43.654852,-79.353977,Regent Park - Distillery
7576,Front St E / Bayview Avenue,43.653500,-79.354068,Regent Park - Distillery
7577,Oak St / Sumach St,43.661791,-79.361515,Regent Park - Distillery
7579,Glebe Rd W / Yonge St,43.700598,-79.397345,Mid Town
